Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
O8JL9TD7Q,DARK,03 32 21.917,-27 51 50.20,0,2003-09-07 23:59:59,2003-09-08 00:18:19,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-08 04:56:08,O8JL9TD7Q,,,0.668
O8JL9TD8Q,DARK,03 32 21.917,-27 51 50.20,0,2003-09-08 00:19:03,2003-09-08 00:20:03,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-08 04:56:29,O8JL9TD8Q,,,0.668
O8JL9TD9Q,DARK,03 32 21.917,-27 51 50.20,0,2003-09-08 00:20:47,2003-09-08 00:21:47,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-08 04:56:30,O8JL9TD9Q,,,0.668
U8U90101M,EARTH-CALIB,03 32 21.917,-27 51 50.20,0,2003-09-08 00:03:15,2003-09-08 00:03:16,0.700,WFPC2 ,WFALL,F502N,5012.000,10073,2003-09-08 03:40:22,U8U90101M,,,0.668
U8U90201M,EARTH-CALIB,03 32 21.917,-27 51 50.20,0,2003-09-08 00:08:15,2003-09-08 00:08:16,0.700,WFPC2 ,WFALL,F502N,5012.000,10073,2003-09-08 03:40:58,U8U90201M,,,0.668
U8LP9T01M,GOODS,03 32 21.917,-27 51 50.20,3,2003-09-07 23:03:15,2003-09-07 23:19:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 03:37:55,U8LP9T01M,,,0.668
U8LP9T02M,GOODS,03 32 21.917,-27 51 50.20,3,2003-09-07 23:22:15,2003-09-07 23:33:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 03:39:10,U8LP9T02M,,,0.668
N96027U9Q,WFPCUDF1-1,03 32 19.923,-27 51 41.83,11,2005-02-27 14:29:57,2005-02-27 14:40:37,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:15:49,N96027U9Q,,,0.685
N96027UBQ,WFPCUDF1-1,03 32 19.923,-27 51 41.83,11,2005-02-27 14:41:00,2005-02-27 14:51:40,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:16:19,N96027UBQ,,,0.685
U8ITZT01M,GOODS,03 32 17.940,-27 51 53.89,6,2003-09-06 16:42:15,2003-09-06 16:58:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:16:25,U8ITZT01M,,,0.688
U8ITZT02M,GOODS,03 32 17.940,-27 51 53.89,6,2003-09-06 17:01:15,2003-09-06 17:12:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:17:34,U8ITZT02M,,,0.688
U8LP9J01M,GOODS,03 32 17.940,-27 51 53.89,3,2003-09-06 16:31:15,2003-09-06 16:35:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-06 22:14:36,U8LP9J01M,,,0.688
